REQUEST_DATE|SCENARIO_SEQ|REQUEST_SEQ|XPOS|YPOS|SISUL_CD1|RSRP1|SINR1|SISUL_CD2|RSRP2|SINR2|SISUL_CD3|RSRP3|SINR3
43740|1|1|127-06-01.535|37-30-07.789|2019Y5342|-119.287674|3.34||||||
43740|1|1|127-06-01.535|37-30-08.113|2019Y5342|-121.05719|1.34||||||
43740|1|1|127-06-01.536|37-30-08.437|201936401|-121.07253|1.1||||||
43740|1|1|127-06-01.536|37-30-08.762|2019Y5179|-122.663506|-0.28||||||
43740|1|1|127-06-01.537|37-30-09.086|2019Y5179|-98.22615|4.97||||||
43740|1|1|127-06-01.537|37-30-09.410|2019Y2402|-112.79575|9.13||||||
43740|1|1|127-06-01.537|37-30-09.735|2019Y2402|-89.84613|11.69||||||
43740|1|1|127-06-01.538|37-30-10.059|2019Y7644|-91.71136|10.96||||||
43740|1|1|127-06-01.538|37-30-10.384|201934295|-88.37872|14.75||||||
43740|1|1|127-06-01.539|37-30-10.708|201934295|-83.00893|19.69||||||
43740|1|1|127-06-01.539|37-30-11.032|201934295|-70.36324|31.79||||||
43740|1|1|127-06-01.540|37-30-11.357|201934295|-99.53584|23.12||||||
43740|1|1|127-06-01.540|37-30-11.681|2019Y7644|-90.28526|14.97||||||
43740|1|1|127-06-01.540|37-30-12.005|201934295|-87.07539|19.81||||||
43740|1|1|127-06-01.541|37-30-12.330|201933468|-104.75891|2.61||||||
43740|1|1|127-06-01.541|37-30-12.654|2019Y5179|-125.10932|-1.74||||||
43740|1|1|127-06-01.542|37-30-12.978|2019Y7644|-90.94011|12.16||||||
43740|1|1|127-06-01.542|37-30-13.303|2019Y5179|-117.06118|6.38||||||
43740|1|1|127-06-01.543|37-30-13.627|2019Y5179|-101.70189|21.55||||||
43740|1|1|127-06-01.543|37-30-13.952|2019Y5179|-101.27905|21.86||||||
43740|1|1|127-06-01.543|37-30-14.276|2019Y5179|-69.96506|34.29||||||
43740|1|1|127-06-01.544|37-30-14.600|2019Y5179|-119.0067|3.91||||||
43740|1|1|127-06-01.544|37-30-14.925|2019Y5179|-72.71793|30.68||||||
43740|1|1|127-06-01.545|37-30-15.249|2019Y5179|-68.834114|33.9||||||
43740|1|1|127-06-01.545|37-30-15.573|2019Y8414|-87.09254|16.22||||||
43740|1|1|127-06-01.546|37-30-15.898|2019Y8414|-114.26342|7.9||||||
43740|1|1|127-06-01.546|37-30-16.222|20193AYPT|-94.780876|8.23||||||
43740|1|1|127-06-01.547|37-30-16.546|2019Y8414|-108.64217|13.04||||||
43740|1|1|127-06-01.547|37-30-16.871|20193AYPT|-94.05635|9.72||||||
43740|1|1|127-06-01.547|37-30-17.195|20193AYPT|-117.89886|4.67||||||
43740|1|1|127-06-01.548|37-30-17.520|20193AYPT|-117.73886|4.67||||||
43740|1|1|127-06-01.548|37-30-17.844|20193AYPT|-116.649315|5.75||||||
43740|1|1|127-06-01.549|37-30-18.168|20193AYPT|-116.4197|5.71||||||
43740|1|1|127-06-01.549|37-30-18.493|20193AYPT|-92.33732|9.14||||||
43740|1|1|127-06-01.550|37-30-18.817|20193AYPT|-117.33937|4.69||||||
43740|1|1|127-06-01.550|37-30-19.141|20193AYPT|-93.60001|7.71||||||
43740|1|1|127-06-01.550|37-30-19.466|201935867|-116.82477|5.08||||||
43740|1|1|127-06-01.551|37-30-19.790|201935867|-94.77226|7.04||||||
43740|1|1|127-06-01.551|37-30-20.114|201935867|-118.089905|4.25||||||
43740|1|1|127-06-01.552|37-30-20.439|201935867|-117.90334|4.64||||||
43740|1|1|127-06-01.552|37-30-20.763|201935867|-120.612495|1.87||||||
43740|1|1|127-06-01.553|37-30-21.088|201935867|-96.545555|7.24||||||
43740|1|1|127-06-01.553|37-30-21.412|201935867|-96.822586|7.45||||||
43740|1|1|127-06-01.553|37-30-21.736|201935867|-118.20703|4.55||||||
43740|1|1|127-06-01.554|37-30-22.061|201935867|-118.48813|4.22||||||
43740|1|1|127-06-01.554|37-30-22.385|201936889|-109.44083|10.83||||||
43740|1|1|127-06-01.555|37-30-22.709|201936889|-83.88687|16.18||||||
43740|1|1|127-06-01.555|37-30-23.034|201936889|-82.29369|18.73||||||
43740|1|1|127-06-01.556|37-30-23.358|201936889|-82.40885|20.22||||||
43740|1|1|127-06-01.556|37-30-23.682|201936889|-108.851654|13.39||||||
43740|1|1|127-06-01.557|37-30-24.007|201936889|-109.724754|12.55||||||
43740|1|1|127-06-01.557|37-30-24.331|2019Y0680|-94.46669|8.93||||||
43740|1|1|127-06-01.557|37-30-24.655|201936889|-79.97273|23.46||||||
43740|1|1|127-06-01.558|37-30-24.980|201936889|-79.008|24.45||||||
43740|1|1|127-06-01.558|37-30-25.304|201936889|-79.40603|9.56||||||
43740|1|1|127-06-01.559|37-30-25.629|201936889|-80.79336|9.88||||||
